,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,Basic_psc_pci_2,Basic_psc_pci_3,Basic_psc_pci_4,Basic_psc_pci_5,Basic_psc_pci_6,MRTime,Lon,Lat,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,conf,error,Longitude,Latitude,p_gid,gid
10,2,6266,8966677,58,-82,4,2147483647,2147483647,51,-89,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,246,103,314,-1.0,-1.0,1521794030627,121.49548,31.283645,18,68.0,61.0,86.0,-1.0,-1.0,0,52.5,121.49639682,31.28344556,8,8
11,1,6266,8966687,57,-83,4,2147483647,2147483647,54,-86,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-999.0,0,-999.0,-999.0,-999.0,0,416,102,-1,-1.0,-999.0,1521793759781,121.493365,31.283989,17,59.0,58.0,-1.0,-1.0,-1.0,1,22.8,121.49355047,31.28427968,14,14
12,9,6266,8898335,55,-85,4,2147483647,2147483647,46,-94,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,103,360,247,-1.0,-1.0,1521795776478,121.494908,31.284184,19,73.0,83.0,74.0,-1.0,-1.0,1,13.4,121.49763386,31.28638231,15,15
13,0,6266,12842763,64,-76,4,2147483647,2147483647,66,-74,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,387,102,103,-1.0,-1.0,1521792857798,121.49826,31.285127,4,12.0,112.0,111.0,-1.0,-1.0,1,10.9,121.49607062,31.28294881,8,8
14,0,6266,8966923,78,-62,4,2147483647,2147483647,58,-82,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,313,195,-1,-1.0,-1.0,1521793273942,121.49634,31.287991,11,38.0,121.0,-1.0,-1.0,-1.0,1,10.9,121.49607062,31.28294881,8,8
15,2,6266,8966677,58,-82,4,2147483647,2147483647,51,-89,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,246,103,314,-1.0,-1.0,1521794029569,121.49548,31.283645,18,68.0,61.0,86.0,-1.0,-1.0,0,52.5,121.49639682,31.28344556,8,8
16,0,6266,8970507,68,-72,4,2147483647,2147483647,65,-75,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,444,248,312,480.0,481.0,1521793023630,121.502806,31.288517,8,24.0,23.0,131.0,153.0,160.0,0,447.0,121.49607062,31.28294881,0,8
17,9,6266,8966933,73,-67,4,-1,0,-1,-1,-1,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1.0,-1.0,1521795944620,121.494185,31.286931,13,-1.0,-1.0,-1.0,-1.0,-1.0,0,198.2,121.4966909,31.28661194,26,11
18,0,6266,13056267,63,-77,4,2147483647,2147483647,62,-78,4,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,248,-1,-1,-1.0,-1.0,1521792930641,121.5048991,31.28309848,6,20.0,-1.0,-1.0,-1.0,-1.0,1,10.9,121.49607062,31.28294881,8,8
19,4,6266,12842763,51,-89,4,2147483647,2147483647,52,-88,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,416,103,-1,-1.0,-1.0,1521794543700,121.49826,31.285127,4,11.0,111.0,-1.0,-1.0,-1.0,1,0.6,121.50135039,31.28496175,20,20
20,3,6266,8898315,70,-70,4,2147483647,2147483647,66,-74,4,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,246,-1,-1,-1.0,-1.0,1521794190267,121.498534,31.288074,9,30.0,-1.0,-1.0,-1.0,-1.0,1,26.1,121.49909962,31.28571296,0,0
21,11,6266,8966687,54,-86,4,-1,0,-1,-1,-1,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1.0,-1.0,1521796352498,121.493365,31.283989,17,-1.0,-1.0,-1.0,-1.0,-1.0,0,74.8,121.49544035,31.28350973,2,2
22,10,6266,8966933,73,-67,4,-1,0,-1,-1,-1,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1.0,-1.0,1521796072407,121.494185,31.286931,13,-1.0,-1.0,-1.0,-1.0,-1.0,1,30.1,121.49489625,31.2864568,26,26
23,0,6266,8898315,68,-72,4,2147483647,2147483647,63,-77,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,360,444,362,-1.0,-1.0,1521793088808,121.498534,31.288074,9,27.0,26.0,28.0,-1.0,-1.0,1,10.9,121.49607062,31.28294881,8,8
24,9,6266,8966933,70,-70,4,2147483647,2147483647,49,-91,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,320,314,102,-1.0,-1.0,1521795841855,121.494185,31.286931,13,97.0,44.0,95.0,-1.0,-1.0,1,1.1,121.4966909,31.28661194,11,11
25,2,6266,8914443,71,-69,4,2147483647,2147483647,54,-86,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,389,388,-1,-1.0,-1.0,1521793967768,121.497708,31.282674,1,63.0,1.0,-1.0,-1.0,-1.0,0,52.5,121.49639682,31.28344556,8,8
26,11,6266,8966677,61,-79,4,2147483647,2147483647,50,-90,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,314,103,446,-1.0,-1.0,1521796207355,121.49548,31.283645,18,86.0,61.0,107.0,-1.0,-1.0,1,6.9,121.49520422,31.28499461,3,3
27,8,6266,8914443,69,-71,4,2147483647,2147483647,43,-97,3,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,489,103,388,102.0,-999.0,1521795337346,121.497708,31.282674,1,0.0,2.0,1.0,7.0,-1.0,1,48.2,121.49577806,31.28356981,13,22
28,7,6266,8966677,75,-65,4,2147483647,2147483647,68,-72,4,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,103,-1,-1,-999.0,-999.0,1521795154200,121.49548,31.283645,18,61.0,-1.0,-1.0,-1.0,-1.0,1,11.9,121.49379465,31.28467975,9,9
29,0,6266,12842783,67,-73,4,2147483647,2147483647,68,-72,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,416,389,103,-1.0,-1.0,1521792762179,121.498204,31.282061,3,6.0,9.0,130.0,-1.0,-1.0,1,10.9,121.49607062,31.28294881,8,8
