ECGI_Raw,PCI,1F_UARFCN,制式,TAC,经度,维度,方向角,下倾角,天线挂高,小区类型,参考信号功率,A,B,ECGI
10725397,465,1650,L1800,6266,121.4916484,31.30399107,360,0,0,微小区,152,41896,21,10728224
10725388,500,450,L2100,6266,121.4916484,31.30399107,360,0,0,微小区,122,41896,12,10728215
10725398,465,450,L2100,6266,121.4916484,31.30399107,360,0,0,微小区,152,41896,22,10728225
10725643,471,1650,L1800,6177,121.35633,31.25598,360,0,0,微小区,152,41897,11,10728470
10725653,472,1650,L1800,6177,121.35633,31.25598,360,0,0,微小区,152,41897,21,10728480
10725663,473,1650,L1800,6177,121.35633,31.25598,360,0,0,微小区,152,41897,31,10728490
10725673,474,1650,L1800,6177,121.35633,31.25598,360,0,0,微小区,152,41897,41,10728500
10725683,475,1650,L1800,6177,121.35633,31.25598,360,0,0,微小区,152,41897,51,10728510
10725899,488,1650,L1800,6180,121.35606,31.22051,360,0,0,微小区,152,41898,11,10728726
10725909,489,1650,L1800,6180,121.35606,31.22051,360,0,0,微小区,152,41898,21,10728736
10725919,490,1650,L1800,6180,121.35606,31.22051,360,0,0,微小区,152,41898,31,10728746
10726155,484,1650,L1800,6183,121.44711,31.24988,360,0,0,微小区,152,41899,11,10728982
10726165,489,1650,L1800,6183,121.44711,31.24988,360,0,0,微小区,152,41899,21,10728992
10726175,482,1650,L1800,6183,121.44711,31.24988,360,0,0,微小区,152,41899,31,10729002
10726411,498,1650,L1800,6172,121.38522,31.26935,360,0,0,微小区,152,41900,11,10729238
10726421,499,1650,L1800,6172,121.38522,31.26935,360,0,0,微小区,152,41900,21,10729248
10726431,500,1650,L1800,6172,121.38522,31.26935,360,0,0,微小区,152,41900,31,10729258
10726667,466,1650,L1800,6153,121.218723,31.251023,360,0,0,微小区,152,41901,11,10729494
10726668,466,450,L2100,6153,121.218723,31.251023,360,0,0,微小区,152,41901,12,10729495
10726677,467,450,L2100,6153,121.218723,31.251023,360,0,0,微小区,152,41901,21,10729504
10726923,490,1650,L1800,6181,121.43256,31.23919,360,0,0,微小区,152,41902,11,10729750
10726933,491,1650,L1800,6181,121.43256,31.23919,360,0,0,微小区,152,41902,21,10729760
10726943,492,1650,L1800,6181,121.43256,31.23919,360,0,0,微小区,152,41902,31,10729770
10726953,493,1650,L1800,6181,121.43256,31.23919,360,0,0,微小区,152,41902,41,10729780
10727179,476,1650,L1800,6176,121.38686,31.23737,360,0,0,微小区,152,41903,11,10730006
10727189,477,1650,L1800,6176,121.38686,31.23737,360,0,0,微小区,152,41903,21,10730016
10727435,493,1650,L1800,6265,121.61114,31.2553,360,0,0,微小区,152,41904,11,10730262
10727445,494,1650,L1800,6265,121.61114,31.2553,360,0,0,微小区,152,41904,21,10730272
10727691,486,1650,L1800,6259,121.47545,31.22861,360,0,0,微小区,152,41905,11,10730518
10727947,486,1650,L1800,6176,121.38231,31.21682,360,0,0,微小区,152,41906,11,10730774
10727957,487,1650,L1800,6176,121.38231,31.21682,360,0,0,微小区,152,41906,21,10730784
10727967,488,1650,L1800,6176,121.38231,31.21682,360,0,0,微小区,152,41906,31,10730794
10728459,496,1650,L1800,6265,121.54653,31.22623,360,0,0,微小区,152,41908,11,10731286
10728469,497,1650,L1800,6265,121.54653,31.22623,360,0,0,微小区,152,41908,21,10731296
10728474,497,1506,L1800,6265,121.54653,31.22623,360,0,0,微小区,122,41908,26,10731301
10728715,491,1650,L1800,6269,121.434584,31.259101,360,0,0,微小区,152,41909,11,10731542
10728725,492,1650,L1800,6269,121.434584,31.259101,360,0,0,微小区,152,41909,21,10731552
10728735,493,1650,L1800,6269,121.434584,31.259101,360,0,0,微小区,152,41909,31,10731562
10728716,491,450,L2100,6269,121.434584,31.259101,360,0,0,微小区,122,41909,12,10731543
10728726,492,450,L2100,6269,121.434584,31.259101,360,0,0,微小区,122,41909,22,10731553
10728736,493,450,L2100,6269,121.434584,31.259101,360,0,0,微小区,122,41909,32,10731563
10728971,487,1650,L1800,6185,121.50151,31.25261,360,0,0,微小区,152,41910,11,10731798
10728981,488,1650,L1800,6185,121.50151,31.25261,360,0,0,微小区,152,41910,21,10731808
10728991,489,1650,L1800,6185,121.50151,31.25261,360,0,0,微小区,152,41910,31,10731818
10729001,490,1650,L1800,6185,121.50151,31.25261,360,0,0,微小区,152,41910,41,10731828
10729011,491,1650,L1800,6185,121.50151,31.25261,360,0,0,微小区,152,41910,51,10731838
10729227,475,1650,L1800,6158,121.4312,31.32587,360,0,0,微小区,122,41911,11,10732054
10729237,476,1650,L1800,6158,121.4312,31.32587,360,0,0,微小区,122,41911,21,10732064
10729247,477,1650,L1800,6158,121.4312,31.32587,360,0,0,微小区,122,41911,31,10732074
10729257,478,1650,L1800,6158,121.4312,31.32587,360,0,0,微小区,122,41911,41,10732084
10729267,479,1650,L1800,6158,121.4312,31.32587,360,0,0,微小区,122,41911,51,10732094
10729277,480,1650,L1800,6158,121.4312,31.32587,360,0,0,微小区,122,41911,61,10732104
10729483,499,1650,L1800,6250,121.57577,31.25982,360,0,0,微小区,152,41912,11,10732310
10729739,495,1650,L1800,6179,121.42113,31.21144,360,0,0,微小区,152,41913,11,10732566
10729749,496,1650,L1800,6179,121.42113,31.21144,360,0,0,微小区,152,41913,21,10732576
10729995,484,1650,L1800,6270,121.43488,31.27994,360,0,0,微小区,152,41914,11,10732822
10730005,485,1650,L1800,6270,121.43488,31.27994,360,0,0,微小区,152,41914,21,10732832
10730251,478,1650,L1800,6172,121.38031,31.26471,360,0,0,微小区,152,41915,11,10733078
10730261,479,1650,L1800,6172,121.38031,31.26471,360,0,0,微小区,152,41915,21,10733088
10730271,480,1650,L1800,6172,121.38031,31.26471,360,0,0,微小区,122,41915,31,10733098
10730262,479,1506,L1800,6172,121.38031,31.26471,360,0,0,微小区,122,41915,22,10733089
10730507,480,1650,L1800,6188,121.3448,31.23289,360,0,0,微小区,152,41916,11,10733334
10730517,481,1650,L1800,6188,121.3448,31.23289,360,0,0,微小区,152,41916,21,10733344
10731019,492,1650,L1800,6193,121.53287,31.18108,360,0,0,微小区,122,41918,11,10733846
10731029,493,1650,L1800,6193,121.53287,31.18108,360,0,0,微小区,152,41918,21,10733856
10731275,494,1650,L1800,6270,121.44754,31.28299,360,0,0,微小区,152,41919,11,10734102
10731285,495,1650,L1800,6270,121.44754,31.28299,360,0,0,微小区,152,41919,21,10734112
10731295,496,1650,L1800,6270,121.44754,31.28299,360,0,0,微小区,152,41919,31,10734122
10731305,497,1650,L1800,6270,121.44754,31.28299,360,0,0,微小区,152,41919,41,10734132
10731315,498,1650,L1800,6270,121.44754,31.28299,360,0,0,微小区,152,41919,51,10734142
10731531,499,1650,L1800,6270,121.44754,31.28299,360,0,0,微小区,152,41920,11,10734358
10731541,500,1650,L1800,6270,121.44754,31.28299,360,0,0,微小区,152,41920,21,10734368
10731551,465,1650,L1800,6270,121.44754,31.28299,360,0,0,微小区,152,41920,31,10734378
10731561,466,1650,L1800,6270,121.44754,31.28299,360,0,0,微小区,152,41920,41,10734388
10731571,467,1650,L1800,6270,121.44754,31.28299,360,0,0,微小区,152,41920,51,10734398
