,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
3581,17,6153,28033,26,-61,4,6153,28024,20,-73,4,6153.0,27903.0,17.0,-79.0,4.0,6153.0,27913.0,19.0,-75.0,4.0,6153.0,28020.0,22.0,-69.0,4.0,6153.0,27902.0,19.0,-75.0,4.0,0,1.52e+12,21,89.0,19.0,38.0,25.0,37.0,121.497323,31.285173,121.494823,31.285815,121.494429,31.278097,121.498646,31.28425,121.498923,31.281691,121.503581,31.28534,0,276.7,121.4956486,31.28623343,17,1,3,4,4,4,3,4
5768,22,6153,28033,28,-57,4,6153,28031,23,-67,4,6153.0,27913.0,27.0,-59.0,4.0,6153.0,28032.0,16.0,-81.0,4.0,6153.0,27903.0,16.0,-81.0,4.0,6153.0,27902.0,17.0,-79.0,4.0,1,1.53e+12,21,24.0,38.0,18.0,19.0,37.0,121.497323,31.285173,121.495261,31.288196,121.498646,31.28425,121.50187,31.284054,121.494429,31.278097,121.503581,31.28534,1,29.7,121.4987665,31.28505256,20,20,2,3,2,5,5,4
5417,21,4199,29752,23,-67,4,4199,12499,22,-69,4,4199.0,29753.0,22.0,-69.0,4.0,4199.0,29742.0,20.0,-73.0,4.0,4199.0,29751.0,22.0,-69.0,4.0,4199.0,18539.0,15.0,-83.0,4.0,1,1.53e+12,6,1.0,5.0,12.0,9.0,13.0,121.494757,31.284161,121.485106,31.285941,121.492659,31.283734,121.495039,31.296587,121.49346,31.285513,121.499165,31.284763,1,8.7,121.4954805,31.28507536,50,50,3,3,3,4,3,5
1368,14,6362,30075,26,-61,4,6362,29968,22,-69,4,6362.0,30073.0,23.0,-67.0,4.0,6362.0,29967.0,24.0,-65.0,4.0,6362.0,30074.0,18.0,-77.0,4.0,6362.0,29966.0,24.0,-65.0,4.0,1,1.51e+12,40,52.0,55.0,47.0,48.0,56.0,121.505676,31.279911,121.504264,31.277168,121.507842,31.28561,121.511947,31.281646,121.51078,31.282514,121.507277,31.283308,1,7.7,121.5085682,31.28154008,40,40,3,3,3,3,4,3
368,2,4199,29753,22,-69,4,4199,18467,31,-51,4,4199.0,29752.0,23.0,-67.0,4.0,4199.0,12499.0,17.0,-79.0,4.0,4199.0,29742.0,2.0,-109.0,0.0,4199.0,18468.0,19.0,-75.0,4.0,1,1.52e+12,5,2.0,6.0,1.0,12.0,17.0,121.492659,31.283734,121.496847,31.283612,121.494757,31.284161,121.485106,31.285941,121.495039,31.296587,121.497084,31.281895,1,27.5,121.4962147,31.28353124,2,2,3,2,3,4,7,4
2454,17,6362,30075,20,-73,4,6362,30074,18,-77,4,6362.0,29968.0,15.0,-83.0,4.0,6362.0,29967.0,20.0,-73.0,4.0,0.0,0.0,12.0,-89.0,4.0,6305.0,17287.0,14.0,-85.0,4.0,0,1.52e+12,40,48.0,52.0,47.0,-999.0,70.0,121.505676,31.279911,121.51078,31.282514,121.504264,31.277168,121.511947,31.281646,-999.0,-999.0,121.513375,31.276554,1,4.9,121.5101522,31.27946348,3,3,4,4,5,4,5,5
2019,16,6153,28033,25,-63,4,6153,27902,23,-67,4,6153.0,28033.0,28.0,-57.0,4.0,6153.0,27903.0,21.0,-71.0,4.0,6153.0,27913.0,24.0,-65.0,4.0,6153.0,28021.0,22.0,-69.0,4.0,1,1.51e+12,21,37.0,21.0,19.0,38.0,22.0,121.497323,31.285173,121.503581,31.28534,121.497323,31.285173,121.494429,31.278097,121.498646,31.28425,121.499699,31.276899,1,20.7,121.4970071,31.2841394,17,17,3,3,2,4,3,3
1091,8,4199,18537,27,-59,4,4199,18539,23,-67,4,4199.0,18619.0,23.0,-67.0,4.0,4199.0,29752.0,22.0,-69.0,4.0,4199.0,18638.0,20.0,-73.0,4.0,4199.0,29742.0,20.0,-73.0,4.0,0,1.52e+12,26,13.0,16.0,6.0,10.0,12.0,121.499263,31.287606,121.499165,31.284763,121.499258,31.288113,121.494757,31.284161,121.492016,31.295198,121.495039,31.296587,1,23.8,121.4986951,31.28422967,41,41,2,3,3,3,4,4
2803,17,6305,17144,20,-73,4,6362,29968,20,-73,4,6305.0,17274.0,19.0,-75.0,4.0,6362.0,29967.0,10.0,-93.0,3.0,6153.0,27937.0,11.0,-91.0,3.0,6153.0,27913.0,11.0,-91.0,3.0,0,1.52e+12,57,52.0,54.0,47.0,78.0,38.0,121.505035,31.283008,121.504264,31.277168,121.51148,31.278201,121.511947,31.281646,121.504202,31.277213,121.498646,31.28425,1,4.9,121.5101522,31.27946348,3,3,4,4,4,6,6,6
3113,17,6153,27940,29,-55,4,6153,27903,24,-65,4,6153.0,28032.0,23.0,-67.0,4.0,6153.0,27852.0,28.0,-57.0,4.0,6153.0,28021.0,27.0,-59.0,4.0,-1.0,0.0,-1.0,-1.0,-1.0,0,1.52e+12,58,19.0,18.0,84.0,22.0,-999.0,121.497584,31.27897,121.494429,31.278097,121.50187,31.284054,121.494492,31.278723,121.499699,31.276899,-999.0,-999.0,1,4.9,121.5101522,31.27946348,3,3,2,3,3,2,2,1
4317,18,6153,28033,20,-73,4,6153,28020,14,-85,4,6153.0,27903.0,13.0,-87.0,4.0,6153.0,27911.0,17.0,-79.0,4.0,6153.0,27913.0,14.0,-85.0,4.0,6153.0,27902.0,18.0,-77.0,4.0,1,1.53e+12,21,25.0,19.0,43.0,38.0,37.0,121.497323,31.285173,121.498923,31.281691,121.494429,31.278097,121.498572,31.286194,121.498646,31.28425,121.503581,31.28534,1,22.0,121.4956892,31.2862541,1,1,4,5,5,4,5,4
1369,14,6362,30075,27,-59,4,6362,29968,22,-69,4,6362.0,30073.0,23.0,-67.0,4.0,6362.0,29967.0,24.0,-65.0,4.0,6362.0,30074.0,18.0,-77.0,4.0,6362.0,29966.0,23.0,-67.0,4.0,1,1.51e+12,40,52.0,55.0,47.0,48.0,56.0,121.505676,31.279911,121.504264,31.277168,121.507842,31.28561,121.511947,31.281646,121.51078,31.282514,121.507277,31.283308,1,7.7,121.5085682,31.28154008,40,40,2,3,3,3,4,3
542,6,4199,29752,25,-63,4,4199,18638,21,-71,4,4199.0,29753.0,27.0,-59.0,4.0,4199.0,29751.0,25.0,-63.0,4.0,4199.0,29742.0,22.0,-69.0,4.0,4199.0,18539.0,23.0,-67.0,4.0,0,1.52e+12,6,10.0,5.0,9.0,12.0,13.0,121.494757,31.284161,121.492016,31.295198,121.492659,31.283734,121.49346,31.285513,121.495039,31.296587,121.499165,31.284763,1,25.9,121.4943344,31.28672782,53,53,3,4,2,3,3,3
