,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,Longitude,Latitude,gid
8933,29,5198,42518,21,-71,4,5198,49989,18,-77,4,5198.0,49988.0,15.0,-83.0,4.0,5198.0,42507.0,15.0,-83.0,4.0,5198.0,1186.0,14.0,-85.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1523111435202,139,145.0,147.0,142.0,129.0,-999.0,121.218148,31.288526,121.217371,31.291607,121.228847,31.298519,121.221928,31.289447,121.214195,31.287784,-999.0,-999.0,121.21047302,31.28752798,93
7539,24,6182,44771,31,-51,4,6188,41075,20,-73,4,6182.0,44772.0,24.0,-65.0,4.0,6188.0,41065.0,20.0,-73.0,4.0,0.0,0.0,22.0,-69.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1510999933816,21,68.0,41.0,85.0,-999.0,-999.0,121.22292,31.287199,121.223293,31.284386,121.222617,31.290824,121.226176,31.287765,-999.0,-999.0,-999.0,-999.0,121.21807468,31.29014904,4
12163,60,5198,42507,16,-81,4,5198,42509,14,-85,4,5198.0,56688.0,17.0,-79.0,4.0,5198.0,42518.0,20.0,-73.0,4.0,5198.0,49989.0,16.0,-81.0,4.0,5198.0,64092.0,15.0,-83.0,4.0,1,1524129809795,142,148.0,140.0,139.0,145.0,72.0,121.221928,31.289447,121.223001,31.284943,121.22677,31.297156,121.218148,31.288526,121.217371,31.291607,121.23006,31.302692,121.21040395,31.28716103,93
4257,14,6188,25105,18,-77,4,6182,41139,13,-87,4,6188.0,27378.0,20.0,-73.0,4.0,6188.0,27394.0,20.0,-73.0,4.0,6188.0,25633.0,14.0,-85.0,4.0,6188.0,25089.0,17.0,-79.0,4.0,1,1509266773143,2,6.0,3.0,5.0,43.0,18.0,121.211975,31.276588,121.223131,31.287758,121.208284,31.289647,121.208105,31.289402,121.215471,31.274783,121.211975,31.276588,121.21302291,31.28543684,57
6916,22,6182,41503,31,-51,4,6188,41149,23,-67,4,6188.0,41122.0,26.0,-61.0,4.0,6188.0,41091.0,24.0,-65.0,4.0,6188.0,41092.0,27.0,-59.0,4.0,6188.0,41148.0,28.0,-57.0,4.0,1,1510411826930,33,23.0,29.0,80.0,25.0,28.0,121.220505,31.290893,121.214295,31.280418,121.216448,31.2893,121.211384,31.291563,121.217871,31.2808,121.218285,31.288788,121.21360019,31.29255762,7
7808,25,6188,41149,25,-63,4,6188,41148,23,-67,4,6188.0,41093.0,16.0,-81.0,4.0,6188.0,41124.0,17.0,-79.0,4.0,6188.0,41150.0,15.0,-83.0,4.0,6188.0,41092.0,22.0,-69.0,4.0,1,1511175294856,23,28.0,79.0,26.0,53.0,25.0,121.214295,31.280418,121.218285,31.288788,121.206472,31.284913,121.212407,31.282261,121.2048,31.285646,121.217871,31.2808,121.21012573,31.28454367,66
3656,14,6188,21329,22,-69,4,6188,26051,14,-85,4,6188.0,27394.0,14.0,-85.0,4.0,6188.0,20865.0,15.0,-83.0,4.0,0.0,0.0,14.0,-85.0,4.0,6188.0,21329.0,16.0,-81.0,4.0,1,1509266135300,14,1.0,5.0,46.0,-999.0,14.0,121.203915,31.280386,121.211928,31.288649,121.208105,31.289402,121.205655,31.277705,-999.0,-999.0,121.203915,31.280386,121.20622768,31.28568016,56
3091,13,6188,27377,19,-75,4,6182,44757,19,-75,4,6188.0,26049.0,22.0,-69.0,4.0,6188.0,27393.0,19.0,-75.0,4.0,6188.0,26051.0,19.0,-75.0,4.0,6182.0,41233.0,18.0,-77.0,4.0,2,1509265329425,8,44.0,10.0,16.0,1.0,11.0,121.208284,31.289647,121.213913,31.291614,121.211928,31.288649,121.208105,31.289402,121.211928,31.288649,121.217245,31.291334,121.21248956,31.29308113,117
10201,39,5198,42519,31,-51,4,5198,49989,14,-85,4,5198.0,42518.0,17.0,-79.0,4.0,5198.0,42517.0,15.0,-83.0,4.0,5198.0,42507.0,16.0,-81.0,4.0,5198.0,43857.0,17.0,-79.0,4.0,2,1523514073498,143,145.0,139.0,141.0,142.0,151.0,121.217792,31.288293,121.217371,31.291607,121.218148,31.288526,121.218883,31.292806,121.221928,31.289447,121.2145,31.290457,121.2055292,31.28958286,75
4785,16,6182,41235,31,-51,4,6182,44754,22,-69,4,6188.0,27393.0,19.0,-75.0,4.0,6182.0,44757.0,22.0,-69.0,4.0,6182.0,41234.0,22.0,-69.0,4.0,6182.0,41233.0,31.0,-51.0,4.0,1,1509524838923,12,45.0,16.0,44.0,92.0,11.0,121.206155,31.294312,121.212896,31.291805,121.208105,31.289402,121.213913,31.291614,121.210058,31.291577,121.217245,31.291334,121.20555831,31.29295335,43
