,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
1717,10,6188,27395,25,-63,4,6182,13698,18,-77,4,6182.0,13394.0,17.0,-79.0,4.0,6188.0,27395.0,16.0,-81.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,2,1509179611831,4,20.0,40.0,4.0,-999.0,-999.0,121.208105,31.289402,121.191709,31.287846,121.202787,31.292964,121.208105,31.289402,-999.0,-999.0,-999.0,-999.0,1,15.5,121.20761035,31.28468145,118,118,3,4,4,5,8,8
2763,13,6182,41139,24,-65,4,6188,25633,13,-87,4,6188.0,25089.0,14.0,-85.0,4.0,6188.0,27378.0,14.0,-85.0,4.0,6188.0,25105.0,12.0,-89.0,4.0,6188.0,27394.0,19.0,-75.0,4.0,2,1509264981384,6,43.0,18.0,3.0,2.0,5.0,121.223131,31.287758,121.215471,31.274783,121.211975,31.276588,121.208284,31.289647,121.211975,31.276588,121.208105,31.289402,1,10.6,121.21496483,31.28629549,101,101,3,5,5,5,5,4
3155,13,6182,41233,25,-63,4,6182,44757,18,-77,4,6188.0,27393.0,19.0,-75.0,4.0,6188.0,27377.0,20.0,-73.0,4.0,6182.0,44775.0,19.0,-75.0,4.0,6182.0,44754.0,18.0,-77.0,4.0,2,1509265397375,11,44.0,16.0,8.0,48.0,45.0,121.217245,31.291334,121.213913,31.291614,121.208105,31.289402,121.208284,31.289647,121.223129,31.291293,121.212896,31.291805,0,72.3,121.20914885,31.29314074,35,20,3,4,4,4,4,4
7778,25,6188,41149,31,-51,4,6188,41148,25,-63,4,6188.0,41093.0,23.0,-67.0,4.0,6188.0,41124.0,19.0,-75.0,4.0,6188.0,41150.0,18.0,-77.0,4.0,6188.0,41092.0,25.0,-63.0,4.0,1,1511175262877,23,28.0,79.0,26.0,53.0,25.0,121.214295,31.280418,121.218285,31.288788,121.206472,31.284913,121.212407,31.282261,121.2048,31.285646,121.217871,31.2808,1,5.1,121.20972362,31.28566875,103,103,2,3,3,4,4,3
8429,27,6188,22673,18,-77,4,6188,22673,17,-79,4,6182.0,41503.0,8.0,-97.0,3.0,6182.0,44771.0,10.0,-93.0,3.0,6188.0,41122.0,10.0,-93.0,3.0,6188.0,41123.0,11.0,-91.0,3.0,0,1512004490827,32,32.0,33.0,21.0,29.0,27.0,121.213001,31.289531,121.213001,31.289531,121.220505,31.290893,121.22292,31.287199,121.216448,31.2893,121.218509,31.286137,1,13.1,121.21306677,31.2893068,99,99,4,4,6,6,6,6
7534,24,6182,44771,31,-51,4,6188,41075,19,-75,4,6182.0,44772.0,19.0,-75.0,4.0,0.0,0.0,19.0,-75.0,4.0,0.0,0.0,15.0,-83.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1510999928437,21,68.0,41.0,-999.0,-999.0,-999.0,121.22292,31.287199,121.223293,31.284386,121.222617,31.290824,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,10.5,121.21808611,31.29024798,4,4,2,4,4,4,5,8
242,2,5198,16058,31,-51,4,5198,16057,19,-75,4,5198.0,16059.0,28.0,-57.0,4.0,5198.0,25312.0,20.0,-73.0,4.0,5198.0,17029.0,18.0,-77.0,4.0,5198.0,38198.0,14.0,-85.0,4.0,1,1508201120716,31,63.0,36.0,39.0,35.0,38.0,121.220639,31.281873,121.221136,31.293876,121.209767,31.284987,121.217402,31.281802,121.221816,31.293837,121.206769,31.28681,0,53.4,121.2105387,31.28865831,54,54,2,4,2,4,4,5
4680,16,6188,27393,30,-53,4,6188,27377,22,-69,4,6188.0,27394.0,19.0,-75.0,4.0,6182.0,44775.0,20.0,-73.0,4.0,6188.0,26051.0,21.0,-71.0,4.0,6188.0,26049.0,19.0,-75.0,4.0,1,1509524727472,16,8.0,5.0,48.0,1.0,10.0,121.208105,31.289402,121.208284,31.289647,121.208105,31.289402,121.223129,31.291293,121.211928,31.288649,121.211928,31.288649,1,23.2,121.21115001,31.29311815,102,102,2,3,4,4,4,4
2255,12,6188,27393,31,-51,4,6182,44757,16,-81,4,6188.0,27379.0,20.0,-73.0,4.0,6182.0,41235.0,21.0,-71.0,4.0,6182.0,44754.0,14.0,-85.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,2,1509180203193,16,44.0,37.0,12.0,45.0,-999.0,121.208105,31.289402,121.213913,31.291614,121.208284,31.289647,121.206155,31.294312,121.212896,31.291805,-999.0,-999.0,0,464.7,121.20780288,31.29137184,9,18,2,5,4,4,5,8
6083,19,6188,41094,16,-81,4,6188,26051,19,-75,4,6188.0,27394.0,18.0,-77.0,4.0,6188.0,27378.0,19.0,-75.0,4.0,6188.0,41154.0,17.0,-79.0,4.0,0.0,0.0,15.0,-83.0,4.0,1,1509940510378,24,1.0,5.0,3.0,51.0,-999.0,121.218479,31.276852,121.211928,31.288649,121.208105,31.289402,121.208284,31.289647,121.217258,31.277603,-999.0,-999.0,1,25.6,121.21393473,31.28644651,110,110,5,4,4,4,4,5
5488,17,6188,27378,25,-63,4,6188,27394,19,-75,4,6182.0,13698.0,13.0,-87.0,4.0,6188.0,26051.0,17.0,-79.0,4.0,6188.0,27395.0,15.0,-83.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,0,1509594939963,3,5.0,20.0,1.0,4.0,-999.0,121.208284,31.289647,121.208105,31.289402,121.191709,31.287846,121.211928,31.288649,121.208105,31.289402,-999.0,-999.0,1,37.0,121.20957561,31.28618641,10,10,3,4,5,4,5,8
4681,16,6188,27393,29,-55,4,6188,27377,23,-67,4,6188.0,27394.0,19.0,-75.0,4.0,6182.0,44775.0,20.0,-73.0,4.0,6188.0,26051.0,20.0,-73.0,4.0,6188.0,26049.0,19.0,-75.0,4.0,1,1509524728532,16,8.0,5.0,48.0,1.0,10.0,121.208105,31.289402,121.208284,31.289647,121.208105,31.289402,121.223129,31.291293,121.211928,31.288649,121.211928,31.288649,1,13.2,121.21104536,31.29310688,102,102,2,3,4,4,4,4
9633,35,5198,42518,26,-61,4,5198,49989,16,-81,4,5198.0,56688.0,17.0,-79.0,4.0,5198.0,42507.0,15.0,-83.0,4.0,5198.0,1188.0,16.0,-81.0,4.0,5198.0,42517.0,16.0,-81.0,4.0,1,1523512406667,139,145.0,140.0,142.0,113.0,141.0,121.218148,31.288526,121.217371,31.291607,121.22677,31.297156,121.221928,31.289447,121.214195,31.288478,121.218883,31.292806,0,87.7,121.21036042,31.28804559,52,92,3,5,4,5,5,5
5230,16,6182,44771,21,-71,4,6182,44770,16,-81,4,0.0,0.0,20.0,-73.0,4.0,6188.0,26050.0,24.0,-65.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1509525510307,21,50.0,-999.0,7.0,-999.0,-999.0,121.22292,31.287199,121.223233,31.287403,-999.0,-999.0,121.211928,31.288649,-999.0,-999.0,-999.0,-999.0,1,22.0,121.21426799,31.28669626,110,110,4,5,4,3,8,8
11618,52,5198,42518,19,-75,4,5198,42508,13,-87,4,5198.0,42519.0,17.0,-79.0,4.0,5198.0,42517.0,14.0,-85.0,4.0,5198.0,42507.0,22.0,-69.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,2,1523939151386,139,146.0,143.0,141.0,142.0,-999.0,121.218148,31.288526,121.226213,31.283596,121.217792,31.288293,121.218883,31.292806,121.221928,31.289447,-999.0,-999.0,1,16.2,121.20961036,31.28641815,10,10,4,5,4,5,3,8
7082,23,6188,41092,24,-65,4,6188,41149,25,-63,4,6188.0,41148.0,20.0,-73.0,4.0,6188.0,41093.0,21.0,-71.0,4.0,6188.0,41124.0,20.0,-73.0,4.0,0.0,0.0,15.0,-83.0,4.0,1,1510752841166,25,23.0,28.0,79.0,26.0,-999.0,121.217871,31.2808,121.214295,31.280418,121.218285,31.288788,121.206472,31.284913,121.212407,31.282261,-999.0,-999.0,1,38.3,121.2095623,31.28618042,10,10,3,3,4,4,4,5
1218,9,6188,27377,25,-63,4,6188,27378,19,-75,4,6188.0,27394.0,19.0,-75.0,4.0,6188.0,26051.0,22.0,-69.0,4.0,6188.0,26049.0,19.0,-75.0,4.0,6182.0,41233.0,22.0,-69.0,4.0,2,1509179233545,8,3.0,5.0,1.0,10.0,11.0,121.208284,31.289647,121.208284,31.289647,121.208105,31.289402,121.211928,31.288649,121.211928,31.288649,121.217245,31.291334,0,99.0,121.21095913,31.29297212,117,102,3,4,4,3,4,3
10092,39,5198,42517,26,-61,4,5198,56688,22,-69,4,5198.0,49989.0,21.0,-71.0,4.0,5198.0,42519.0,15.0,-83.0,4.0,5198.0,42518.0,24.0,-65.0,4.0,5198.0,49988.0,14.0,-85.0,4.0,2,1523513848018,141,140.0,145.0,143.0,139.0,147.0,121.218883,31.292806,121.22677,31.297156,121.217371,31.291607,121.217792,31.288293,121.218148,31.288526,121.228847,31.298519,1,35.6,121.2092652,31.29002703,127,127,3,3,4,5,3,5
3703,14,6188,27395,25,-63,4,6188,27379,16,-81,4,6188.0,27378.0,16.0,-81.0,4.0,6182.0,41235.0,16.0,-81.0,4.0,0.0,0.0,16.0,-81.0,4.0,0.0,0.0,16.0,-81.0,4.0,1,1509266185240,4,37.0,3.0,12.0,-999.0,-999.0,121.208105,31.289402,121.208284,31.289647,121.208284,31.289647,121.206155,31.294312,-999.0,-999.0,-999.0,-999.0,1,42.3,121.20443455,31.28696973,50,50,3,5,5,5,5,5
5376,17,6188,26049,31,-51,4,6188,26051,30,-53,4,6188.0,27394.0,25.0,-63.0,4.0,6188.0,27378.0,19.0,-75.0,4.0,6188.0,27377.0,21.0,-71.0,4.0,6188.0,26050.0,16.0,-81.0,4.0,0,1509594709067,10,1.0,5.0,3.0,8.0,7.0,121.211928,31.288649,121.211928,31.288649,121.208105,31.289402,121.208284,31.289647,121.208284,31.289647,121.211928,31.288649,1,47.1,121.21135997,31.28859827,54,54,2,2,3,4,4,5
13286,69,5198,42507,18,-77,4,5198,42508,13,-87,4,5198.0,42518.0,11.0,-91.0,3.0,5198.0,42509.0,13.0,-87.0,4.0,5198.0,49989.0,10.0,-93.0,3.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1524303363528,142,146.0,139.0,148.0,145.0,-999.0,121.221928,31.289447,121.226213,31.283596,121.218148,31.288526,121.223001,31.284943,121.217371,31.291607,-999.0,-999.0,1,33.9,121.20991933,31.2842399,66,66,4,5,6,5,6,8
2649,13,6188,27378,19,-75,4,6188,25105,18,-77,4,6188.0,27377.0,12.0,-89.0,4.0,6188.0,25089.0,18.0,-77.0,4.0,6182.0,41139.0,14.0,-85.0,4.0,6188.0,27394.0,21.0,-71.0,4.0,2,1509264860528,3,2.0,8.0,18.0,6.0,5.0,121.208284,31.289647,121.211975,31.276588,121.208284,31.289647,121.211975,31.276588,121.223131,31.287758,121.208105,31.289402,1,45.2,121.21456247,31.28185082,98,98,4,4,5,4,5,4
12572,63,5198,56688,11,-91,3,5198,42518,4,-105,1,5198.0,49989.0,3.0,-107.0,1.0,5198.0,49988.0,3.0,-107.0,1.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0,1524189873791,140,139.0,145.0,147.0,-999.0,-999.0,121.22677,31.297156,121.218148,31.288526,121.217371,31.291607,121.228847,31.298519,-999.0,-999.0,-999.0,-999.0,1,19.7,121.21307451,31.28960175,99,99,6,7,7,7,8,8
7120,23,6188,41149,26,-61,4,6188,41148,21,-71,4,6188.0,41124.0,27.0,-59.0,4.0,6188.0,41092.0,22.0,-69.0,4.0,6188.0,41118.0,16.0,-81.0,4.0,6188.0,41094.0,17.0,-79.0,4.0,1,1510752881712,23,28.0,26.0,25.0,75.0,24.0,121.214295,31.280418,121.218285,31.288788,121.212407,31.282261,121.217871,31.2808,121.220457,31.275258,121.218479,31.276852,1,25.7,121.21016331,31.28705103,52,52,3,4,2,3,5,4
