,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
1431,14,6362,29978,21,-71,4,6362,29966,17,-79,4,6153.0,28032.0,20.0,-73.0,4.0,6362.0,30075.0,19.0,-75.0,4.0,6153.0,27912.0,22.0,-69.0,4.0,6362.0,29977.0,19.0,-75.0,4.0,1,1.51e+12,60,56.0,18.0,40.0,23.0,63.0,121.504101,31.283884,121.507277,31.283308,121.50187,31.284054,121.505676,31.279911,121.501757,31.285306,121.503721,31.281037,1,6.9,121.5043717,31.28356154,25,25,4,4,4,4,3,4
3101,17,6153,28021,31,-51,4,6153,27940,28,-57,4,6153.0,27913.0,29.0,-55.0,4.0,6153.0,27903.0,27.0,-59.0,4.0,6153.0,28032.0,24.0,-65.0,4.0,6153.0,27852.0,26.0,-61.0,4.0,0,1.52e+12,22,58.0,38.0,19.0,18.0,84.0,121.499699,31.276899,121.497584,31.27897,121.498646,31.28425,121.494429,31.278097,121.50187,31.284054,121.494492,31.278723,1,4.9,121.5101522,31.27946348,3,3,2,2,2,2,3,3
1874,15,6362,30075,29,-55,4,6362,29968,21,-71,4,6362.0,30073.0,24.0,-65.0,4.0,6362.0,30074.0,20.0,-73.0,4.0,6362.0,29966.0,22.0,-69.0,4.0,6362.0,29967.0,20.0,-73.0,4.0,0,1.51e+12,40,52.0,55.0,48.0,56.0,47.0,121.505676,31.279911,121.504264,31.277168,121.507842,31.28561,121.51078,31.282514,121.507277,31.283308,121.511947,31.281646,1,36.2,121.5083911,31.28174652,40,40,2,4,3,4,3,4
5889,22,6153,28032,29,-55,4,6153,27903,19,-75,4,6153.0,28033.0,20.0,-73.0,4.0,6153.0,28031.0,22.0,-69.0,4.0,6153.0,27912.0,31.0,-51.0,4.0,6153.0,27911.0,18.0,-77.0,4.0,1,1.53e+12,18,19.0,21.0,24.0,23.0,43.0,121.50187,31.284054,121.494429,31.278097,121.497323,31.285173,121.495261,31.288196,121.501757,31.285306,121.498572,31.286194,1,13.4,121.4999085,31.28501846,28,28,2,4,4,3,2,4
3702,18,6153,27912,20,-73,4,6153,28032,16,-81,4,6362.0,29949.0,16.0,-81.0,4.0,6362.0,30071.0,13.0,-87.0,4.0,6153.0,28031.0,15.0,-83.0,4.0,6153.0,27903.0,13.0,-87.0,4.0,1,1.53e+12,23,18.0,20.0,64.0,24.0,19.0,121.501757,31.285306,121.50187,31.284054,121.508039,31.286935,121.503121,31.288529,121.495261,31.288196,121.494429,31.278097,0,58.9,121.5017336,31.28713292,6,15,4,5,5,5,5,5
2163,16,6153,28032,31,-51,4,6153,27903,24,-65,4,6153.0,28021.0,21.0,-71.0,4.0,6362.0,30071.0,24.0,-65.0,4.0,6153.0,27912.0,28.0,-57.0,4.0,-1.0,0.0,-1.0,-1.0,-1.0,1,1.51e+12,18,19.0,22.0,64.0,23.0,-999.0,121.50187,31.284054,121.494429,31.278097,121.499699,31.276899,121.503121,31.288529,121.501757,31.285306,-999.0,-999.0,1,6.1,121.5021313,31.28430195,49,49,2,3,4,3,2,1
2130,16,6153,27912,31,-51,4,6153,27903,20,-73,4,6153.0,28021.0,18.0,-77.0,4.0,6362.0,30073.0,20.0,-73.0,4.0,6362.0,41027.0,18.0,-77.0,4.0,6153.0,28032.0,30.0,-53.0,4.0,1,1.51e+12,23,19.0,22.0,55.0,59.0,18.0,121.501757,31.285306,121.494429,31.278097,121.499699,31.276899,121.507842,31.28561,121.509291,31.286813,121.50187,31.284054,1,49.2,121.5016583,31.28461533,44,58,2,4,4,4,4,2
5166,20,6153,28024,15,-83,4,6153,27913,16,-81,4,6153.0,28031.0,17.0,-79.0,4.0,6153.0,28033.0,14.0,-85.0,4.0,6185.0,28271.0,19.0,-75.0,4.0,6185.0,28150.0,16.0,-81.0,4.0,1,1.53e+12,89,38.0,24.0,21.0,98.0,99.0,121.494823,31.285815,121.498646,31.28425,121.495261,31.288196,121.497323,31.285173,121.492339,31.286412,121.497536,31.288448,1,29.5,121.4945756,31.28635044,11,11,5,5,4,5,4,5
3417,17,6153,28020,31,-51,4,6153,28033,22,-69,4,6153.0,27902.0,27.0,-59.0,4.0,6153.0,28021.0,22.0,-69.0,4.0,6153.0,27903.0,27.0,-59.0,4.0,6153.0,28022.0,19.0,-75.0,4.0,0,1.52e+12,25,21.0,37.0,22.0,19.0,39.0,121.498923,31.281691,121.497323,31.285173,121.503581,31.28534,121.499699,31.276899,121.494429,31.278097,121.492686,31.281446,1,4.9,121.5101522,31.27946348,3,3,2,3,2,3,2,4
5290,21,4199,29742,26,-61,4,4199,12499,19,-75,4,4199.0,29743.0,18.0,-77.0,4.0,4199.0,29741.0,16.0,-81.0,4.0,4199.0,18539.0,13.0,-87.0,4.0,4199.0,29752.0,14.0,-85.0,4.0,1,1.53e+12,12,1.0,27.0,14.0,13.0,6.0,121.495039,31.296587,121.485106,31.285941,121.493918,31.287768,121.495055,31.288492,121.499165,31.284763,121.494757,31.284161,0,64.6,121.4952602,31.28654031,53,53,3,4,4,5,5,5
