,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
9454,33,5198,42518,28,-57,4,5198,42517,18,-77,4,5198.0,56688.0,23.0,-67.0,4.0,5198.0,50809.0,15.0,-83.0,4.0,5198.0,49989.0,17.0,-79.0,4.0,5198.0,1188.0,18.0,-77.0,4.0,1,1523511812878,139,141.0,140.0,149.0,145.0,113.0,121.218148,31.288526,121.218883,31.292806,121.22677,31.297156,121.229014,31.288648,121.217371,31.291607,121.214195,31.288478,1,40.4,121.21138861,31.28834002,54,54,2,4,3,5,4,4
4768,16,6182,41233,31,-51,4,6182,44754,20,-73,4,6188.0,27393.0,21.0,-71.0,4.0,6182.0,44757.0,21.0,-71.0,4.0,6182.0,41235.0,28.0,-57.0,4.0,6182.0,41234.0,22.0,-69.0,4.0,1,1509524820919,11,45.0,16.0,44.0,12.0,92.0,121.217245,31.291334,121.212896,31.291805,121.208105,31.289402,121.213913,31.291614,121.206155,31.294312,121.210058,31.291577,0,86.3,121.20643614,31.29314914,43,115,2,4,4,4,2,3
3430,13,6188,27395,21,-71,4,6182,41235,16,-81,4,6188.0,27379.0,18.0,-77.0,4.0,6182.0,13698.0,14.0,-85.0,4.0,6182.0,13394.0,15.0,-83.0,4.0,6188.0,21331.0,15.0,-83.0,4.0,2,1509265689015,4,12.0,37.0,20.0,40.0,15.0,121.208105,31.289402,121.206155,31.294312,121.208284,31.289647,121.191709,31.287846,121.202787,31.292964,121.203915,31.280386,1,35.1,121.20568676,31.28608996,116,26,4,5,4,5,5,5
7820,25,6188,41092,16,-81,4,6188,41148,18,-77,4,6188.0,41124.0,16.0,-81.0,4.0,6188.0,41094.0,15.0,-83.0,4.0,6188.0,41149.0,19.0,-75.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1511175307565,25,28.0,26.0,24.0,23.0,-999.0,121.217871,31.2808,121.218285,31.288788,121.212407,31.282261,121.218479,31.276852,121.214295,31.280418,-999.0,-999.0,1,21.0,121.20980433,31.28439521,66,66,5,4,5,5,4,8
4084,14,6188,26050,19,-75,4,6188,27378,19,-75,4,6188.0,27377.0,19.0,-75.0,4.0,6188.0,26051.0,21.0,-71.0,4.0,6188.0,27394.0,20.0,-73.0,4.0,6182.0,41139.0,21.0,-71.0,4.0,1,1509266589683,7,3.0,8.0,1.0,5.0,6.0,121.211928,31.288649,121.208284,31.289647,121.208284,31.289647,121.211928,31.288649,121.208105,31.289402,121.223131,31.287758,1,8.4,121.21596396,31.2855686,5,5,4,4,4,4,4,4
11972,58,5198,42507,18,-77,4,5198,42518,20,-73,4,5198.0,44572.0,19.0,-75.0,4.0,5198.0,42509.0,15.0,-83.0,4.0,5198.0,49989.0,16.0,-81.0,4.0,0.0,0.0,17.0,-79.0,4.0,2,1524055742202,142,139.0,144.0,148.0,145.0,-999.0,121.221928,31.289447,121.218148,31.288526,121.228681,31.256506,121.223001,31.284943,121.217371,31.291607,-999.0,-999.0,1,33.9,121.21040644,31.28707868,52,93,4,4,4,5,5,4
6097,19,6188,27394,18,-77,4,6188,27378,17,-79,4,6182.0,44771.0,17.0,-79.0,4.0,6188.0,27314.0,17.0,-79.0,4.0,6188.0,26051.0,19.0,-75.0,4.0,6188.0,26050.0,28.0,-57.0,4.0,1,1509940525152,5,3.0,21.0,52.0,1.0,7.0,121.208105,31.289402,121.208284,31.289647,121.22292,31.287199,121.218167,31.28458,121.211928,31.288649,121.211928,31.288649,1,21.5,121.21426215,31.28670153,110,110,4,4,4,4,4,2
3482,13,6188,27395,16,-81,4,6182,13698,14,-85,4,6188.0,27378.0,25.0,-63.0,4.0,6188.0,20865.0,16.0,-81.0,4.0,6188.0,27394.0,19.0,-75.0,4.0,6188.0,26051.0,16.0,-81.0,4.0,2,1509265744141,4,20.0,3.0,46.0,5.0,1.0,121.208105,31.289402,121.191709,31.287846,121.208284,31.289647,121.205655,31.277705,121.208105,31.289402,121.211928,31.288649,1,42.6,121.20805361,31.28432288,118,118,5,5,3,5,4,5
3804,14,6188,27395,23,-67,4,6188,27379,17,-79,4,6188.0,27393.0,26.0,-61.0,4.0,6182.0,41235.0,18.0,-77.0,4.0,6182.0,13394.0,18.0,-77.0,4.0,0.0,0.0,16.0,-81.0,4.0,1,1509266292395,4,37.0,16.0,12.0,40.0,-999.0,121.208105,31.289402,121.208284,31.289647,121.208105,31.289402,121.206155,31.294312,121.202787,31.292964,-999.0,-999.0,0,63.2,121.20671607,31.29055901,67,67,3,4,3,4,4,5
5607,18,5198,25312,22,-69,4,5198,16058,18,-77,4,5198.0,17029.0,10.0,-93.0,3.0,5198.0,36811.0,12.0,-89.0,4.0,5198.0,49663.0,12.0,-89.0,4.0,5198.0,16059.0,10.0,-93.0,3.0,1,1509699777933,39,31.0,35.0,42.0,56.0,36.0,121.217402,31.281802,121.220639,31.281873,121.221816,31.293837,121.210909,31.27847,121.221488,31.282112,121.209767,31.284987,0,60.5,121.21027382,31.28408088,66,24,3,4,6,5,5,6
