,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,Longitude,Latitude,gid
5219,21,4199,12499,24,-65,4,4199,29742,25,-63,4,4199.0,29712.0,19.0,-75.0,4.0,4199.0,29751.0,21.0,-71.0,4.0,4199.0,29753.0,17.0,-79.0,4.0,4199.0,29752.0,18.0,-77.0,4.0,1,1.53e+12,1,12.0,15.0,9.0,5.0,6.0,121.485106,31.285941,121.495039,31.296587,121.49169,31.290129,121.49346,31.285513,121.492659,31.283734,121.494757,31.284161,121.4944707,31.28605594,11
2512,17,6305,17274,23,-67,4,6305,17179,15,-83,4,6305.0,17144.0,15.0,-83.0,4.0,6305.0,17307.0,14.0,-85.0,4.0,6305.0,17177.0,12.0,-89.0,4.0,6305.0,17287.0,12.0,-89.0,4.0,0,1.52e+12,54,71.0,57.0,49.0,72.0,70.0,121.51148,31.278201,121.513832,31.276985,121.505035,31.283008,121.510413,31.277189,121.513451,31.279099,121.513375,31.276554,121.5101522,31.27946348,3
4943,20,6153,28033,31,-51,4,6153,27913,25,-63,4,6153.0,28031.0,24.0,-65.0,4.0,6153.0,27905.0,27.0,-59.0,4.0,6153.0,28020.0,18.0,-77.0,4.0,6153.0,27911.0,21.0,-71.0,4.0,1,1.53e+12,21,38.0,24.0,87.0,25.0,43.0,121.497323,31.285173,121.498646,31.28425,121.495261,31.288196,121.486917,31.274206,121.498923,31.281691,121.498572,31.286194,121.4958152,31.28455169,37
2345,16,6362,29967,19,-75,4,6362,30074,21,-71,4,6362.0,30075.0,16.0,-81.0,4.0,6305.0,58243.0,21.0,-71.0,4.0,6305.0,17154.0,15.0,-83.0,4.0,6362.0,30094.0,15.0,-83.0,4.0,1,1.51e+12,47,48.0,40.0,51.0,68.0,50.0,121.511947,31.281646,121.51078,31.282514,121.505676,31.279911,121.514716,31.281609,121.513278,31.277067,121.510224,31.279669,121.5102469,31.27969867,3
948,7,4199,29742,31,-51,4,4199,29741,23,-67,4,4199.0,12499.0,27.0,-59.0,4.0,4199.0,18638.0,21.0,-71.0,4.0,4199.0,29743.0,26.0,-61.0,4.0,0.0,0.0,21.0,-71.0,4.0,0,1.52e+12,12,14.0,1.0,10.0,27.0,-999.0,121.495039,31.296587,121.495055,31.288492,121.485106,31.285941,121.492016,31.295198,121.493918,31.287768,-999.0,-999.0,121.4968838,31.28226504,46
2834,17,6305,17144,19,-75,4,6362,29968,19,-75,4,6305.0,17274.0,19.0,-75.0,4.0,6153.0,27903.0,14.0,-85.0,4.0,6153.0,27940.0,13.0,-87.0,4.0,6153.0,27925.0,13.0,-87.0,4.0,0,1.52e+12,57,52.0,54.0,19.0,58.0,79.0,121.505035,31.283008,121.504264,31.277168,121.51148,31.278201,121.494429,31.278097,121.497584,31.27897,121.504262,31.278191,121.5101522,31.27946348,3
4903,20,6153,28033,30,-53,4,6153,27903,25,-63,4,6153.0,27913.0,23.0,-67.0,4.0,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27905.0,21.0,-71.0,4.0,6153.0,27902.0,24.0,-65.0,4.0,1,1.53e+12,21,19.0,38.0,24.0,87.0,37.0,121.497323,31.285173,121.494429,31.278097,121.498646,31.28425,121.495261,31.288196,121.486917,31.274206,121.503581,31.28534,121.4964586,31.28444858,17
5897,22,6153,27912,31,-51,4,6153,27903,19,-75,4,6153.0,28033.0,19.0,-75.0,4.0,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27911.0,19.0,-75.0,4.0,6153.0,28032.0,29.0,-55.0,4.0,1,1.53e+12,23,19.0,21.0,24.0,43.0,18.0,121.501757,31.285306,121.494429,31.278097,121.497323,31.285173,121.495261,31.288196,121.498572,31.286194,121.50187,31.284054,121.4999121,31.28501842,28
4562,19,6153,27902,21,-71,4,6153,28021,20,-73,4,6153.0,27913.0,17.0,-79.0,4.0,6153.0,28020.0,19.0,-75.0,4.0,6153.0,28032.0,20.0,-73.0,4.0,6153.0,28033.0,22.0,-69.0,4.0,0,1.53e+12,37,22.0,38.0,25.0,18.0,21.0,121.503581,31.28534,121.499699,31.276899,121.498646,31.28425,121.498923,31.281691,121.50187,31.284054,121.497323,31.285173,121.4994039,31.28433812,41
3993,18,6153,27911,19,-75,4,6153,27913,11,-91,3,6362.0,30071.0,11.0,-91.0,3.0,0.0,0.0,10.0,-93.0,3.0,6153.0,28031.0,21.0,-71.0,4.0,6153.0,28033.0,10.0,-93.0,3.0,1,1.53e+12,43,38.0,64.0,-999.0,24.0,21.0,121.498572,31.286194,121.498646,31.28425,121.503121,31.288529,-999.0,-999.0,121.495261,31.288196,121.497323,31.285173,121.4985019,31.28818244,7
